timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/08/27 15:25:54.214, 0, 0 %, 0 %, 0 MiB, 34.17 W
2026/08/27 15:25:54.223, 1, 0 %, 0 %, 0 MiB, 33.65 W
2026/08/27 15:25:54.232, 2, 0 %, 0 %, 0 MiB, 34.80 W
2026/08/27 15:25:59.242, 0, 0 %, 0 %, 0 MiB, 34.15 W
2026/08/27 15:25:59.242, 1, 0 %, 0 %, 0 MiB, 33.63 W
2026/08/27 15:25:59.242, 2, 0 %, 0 %, 0 MiB, 34.68 W
2026/08/27 15:26:04.248, 0, 0 %, 0 %, 55 MiB, 36.74 W
2026/08/27 15:26:04.253, 1, 0 %, 0 %, 56 MiB, 36.60 W
2026/08/27 15:26:04.265, 2, 0 %, 0 %, 56 MiB, 37.77 W
2026/08/27 15:26:09.274, 0, 97 %, 1 %, 35265 MiB, 58.31 W
2026/08/27 15:26:09.274, 1, 86 %, 1 %, 35264 MiB, 56.08 W
2026/08/27 15:26:09.275, 2, 95 %, 1 %, 35264 MiB, 57.42 W
2026/08/27 15:26:14.275, 0, 1 %, 0 %, 35265 MiB, 36.44 W
2026/08/27 15:26:14.275, 1, 1 %, 0 %, 35264 MiB, 35.72 W
2026/08/27 15:26:14.275, 2, 2 %, 0 %, 35264 MiB, 36.57 W
2026/08/27 15:26:19.276, 0, 0 %, 0 %, 35273 MiB, 36.34 W
2026/08/27 15:26:19.276, 1, 0 %, 0 %, 35272 MiB, 35.82 W
2026/08/27 15:26:19.276, 2, 0 %, 0 %, 35272 MiB, 36.77 W
2026/08/27 15:26:24.277, 0, 3 %, 0 %, 35273 MiB, 36.82 W
2026/08/27 15:26:24.277, 1, 6 %, 0 %, 35272 MiB, 35.81 W
2026/08/27 15:26:24.277, 2, 3 %, 0 %, 35272 MiB, 36.68 W
2026/08/27 15:26:29.277, 0, 0 %, 0 %, 35273 MiB, 36.34 W
2026/08/27 15:26:29.277, 1, 0 %, 0 %, 35272 MiB, 35.42 W
2026/08/27 15:26:29.277, 2, 0 %, 0 %, 35272 MiB, 36.57 W
2026/08/27 15:26:34.279, 0, 0 %, 0 %, 35273 MiB, 36.33 W
2026/08/27 15:26:34.279, 1, 0 %, 0 %, 35272 MiB, 35.52 W
2026/08/27 15:26:34.279, 2, 0 %, 0 %, 35272 MiB, 36.68 W
